animal,loc,ch,bf,bf_deviation,isi_cv,sync_n,r_max,r,d_max,d,sfr,br,bdur_max,bdur,nspikes_burst_max,nspikes_burst,p_bursting_time,p_bursting_spike,ibi_cv,group
B9,6,4,8717.0,8332.0,1.0473122384305935,5,0.016149158167242092,0.01146138750216638,2.550457183120073,1.260149648215433,3.1901040399033214,0.05063657206195748,0.10805247999999779,0.05302564571428751,6.0,3.7142857142857144,0.0026850369303433462,0.05895691609977324,0.8841437165177439,ET
B9,6,5,5751.0,5366.0,0.9143713955340756,11,0.09652195501320926,0.04710426812258566,0.7502384149559123,0.3818502111846184,0.6510416407965962,0.0,,,,,,,,ET
B9,6,6,4210.0,3825.0,0.949355035945452,10,0.19409665521739128,0.07726888004633246,0.7499291270166014,0.27001395924677296,1.8229165942304693,0.021701388026553206,0.06578175999999303,0.04819626666665755,3.0,3.0,0.0010459258843643676,0.03571428571428571,0.1207272514908522,ET
B9,6,7,3419.0,3034.0,0.9743588000295733,11,0.09459187079999483,0.029194034206984312,1.0501749375369653,0.5320032003315677,3.6385993924520874,0.05063657206195748,0.050954240000002926,0.029877394285718038,3.0,3.0,0.001512888828772278,0.041749502982107355,1.0931931598643307,ET
B9,6,8,3419.0,3034.0,1.0060710886521078,9,0.09459187079999483,0.029372691257582868,1.0501749375369653,0.4501802056838184,4.181134093115918,0.036168980044255346,0.05095423999999937,0.03814195199999872,4.0,3.2,0.001379555500736899,0.02768166089965398,0.9683836544758351,ET
B9,6,9,4671.0,4286.0,0.9556605536850998,10,0.19409665521739128,0.05987616255286439,0.6000179151701666,0.25502283806212955,2.864583219505023,0.021701388026553206,0.059637760000001094,0.05177344000000043,3.0,3.0,0.0011235555109094801,0.022727272727272728,0.8259258374593514,ET
B9,6,10,5751.0,5366.0,1.258409398311838,11,0.1408035739165111,0.052879903358807594,0.7502384149559123,0.42278674685506024,0.7161458048762558,0.0,,,,,,,,ET
B9,6,11,2503.0,2118.0,1.0921154031720144,1,0.016149158167242092,0.016149158167242092,1.8001734185397726,1.8001734185397726,6.785300656302303,0.13020832815931924,0.060375039999996716,0.023010417777774746,5.0,3.2777777777777777,0.002996148029091527,0.0628997867803838,1.2903011174637027,ET
B9,6,12,13213.0,12828.0,1.2996669645233154,1,0.008190739616911876,0.008190739616911876,3.1505116348551914,3.1505116348551914,12.38425876715303,0.2531828603097874,0.23650304000000233,0.03681952914285722,13.0,4.914285714285715,0.009322073703648168,0.10046728971962617,1.197507062809909,ET
B9,6,13,7080.0,6695.0,1.1780943140349387,3,0.008114762557298394,0.006762934218801721,1.0501749375369653,0.7000135290448734,4.499421117505364,0.1157407361416171,0.13434879999999794,0.04433919999999825,5.0,3.4375,0.005131851647930186,0.08842443729903537,1.384302852204932,ET
B9,6,14,4671.0,4286.0,1.304089244830944,10,0.17025036917544417,0.07890624364242631,0.6000179151701666,0.25502283806212955,0.8897569090886814,0.04340277605310641,0.18399232000000154,0.055883093333328304,3.0,3.0,0.002425481385101292,0.14634146341463414,1.0296202778429577,ET
B9,6,15,4210.0,3825.0,1.0597805442323327,11,0.11547267907067994,0.047124538265545454,1.8000913720140717,0.40911190586198193,3.464988288239662,0.05787036807080855,0.11886592000000462,0.04812800000000017,5.0,3.25,0.0027851850745118836,0.054279749478079335,0.9011223232233483,ET
B9,6,16,13213.0,12828.0,1.0840967258863898,14,0.13086823290142774,0.08054642973365342,0.1500254440046075,0.042864412572744995,0.5063657206195749,0.0,,,,,,,,ET
B9,6,17,13213.0,12828.0,1.0130651261587769,15,0.13788731921352412,0.07951931182599029,0.1500254440046075,0.05000848133486916,0.5135995166284258,0.0,,,,,,,,ET
B9,6,18,14661.0,14276.0,1.0791879653323926,13,0.11889511143211531,0.05757601730601151,1.8000913720140717,0.2423323360042723,0.36168980044255344,0.007233796008851069,0.4046847999999841,0.4046847999999841,4.0,4.0,0.0029274072910825777,0.08,,ET
B9,6,19,14661.0,14276.0,1.080952358480482,12,0.06746023297888858,0.03463654614300358,0.1500254440046075,0.10001696266973832,0.47019674057531946,0.014467592017702138,0.32653311999999346,0.31313919999999484,3.0,3.0,0.004530370190349559,0.09230769230769231,,ET
B9,6,20,14661.0,14276.0,1.2410870583314113,15,0.13145318793315808,0.05590510366434554,0.1500254440046075,0.11001865893671219,0.38339118846910664,0.0,,,,,,,,ET
B9,6,21,13213.0,12828.0,1.0901770772714954,12,0.10242727209706214,0.057572885332817965,1.5001547161630293,0.15001713368102035,0.3689235964514045,0.0,,,,,,,,ET
B9,6,22,13213.0,12828.0,1.004439044270427,15,0.13717063927158715,0.07698431278242131,0.1500254440046075,0.05000848133486916,0.4774305365841705,0.0,,,,,,,,ET
B9,6,23,13213.0,12828.0,0.9747774268199592,15,0.13788731921352412,0.07429575563364045,0.1500254440046075,0.05000848133486916,0.5425347006638301,0.0,,,,,,,,ET
B9,6,24,13213.0,12828.0,0.9101030251489565,12,0.11008960619904261,0.06895373457812977,0.1500254440046075,0.03750636100115187,0.44849535254876627,0.0,,,,,,,,ET
B9,6,25,13213.0,12828.0,1.0731992878296397,14,0.10666872940970251,0.05772285345062055,0.1500254440046075,0.042864412572744995,0.4340277605310641,0.0,,,,,,,,ET
B9,6,26,13213.0,12828.0,1.0654154285951138,10,0.0629743576134931,0.04776046998439722,0.1500254440046075,0.0300050888009215,0.3761573924602556,0.014467592017702138,0.3864166400000073,0.3339878399999989,3.0,3.0,0.004831999807993563,0.11538461538461539,,ET
B9,6,27,14661.0,14276.0,1.016656236520663,15,0.13145318793315808,0.05305284241865124,0.1500254440046075,0.11001865893671219,0.2965856363628938,0.0,,,,,,,,ET
B9,6,28,14661.0,14276.0,0.9639083528860752,9,0.04625533443048356,0.01886839510375056,1.8000913720140717,0.3500303381969141,0.3906249844779577,0.014467592017702138,0.3845324799999972,0.32260095999999905,3.0,3.0,0.004667259073799033,0.1111111111111111,,ET
