animal,avg_ibi,avg_spikes_burst,bf,bfr,group,max_spikes_burst,max_sync_bf_dist,max_sync_coef,mean_sync_bf_dist,mean_sync_coef,p_bursting_spikes,p_bursting_time,sfr,sync_n
C4,13.462065148353577,3.1818181818181817,13929.0,0.07161458048762558,ET,4.0,1448.0,0.03810118704197516,1448.0,0.03810118704197516,1.6714422158548232,0.09437355148301317,13.632811958280724,1
C4,8.084439039230347,3.3076923076923075,13929.0,0.0846354133035575,ET,5.0,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,4.767184035476718,0.2984798705188485,5.872395599985298,3
C4,,3.0,13929.0,0.006510416407965962,ET,3.0,1448.0,0.03810118704197516,1448.0,0.03810118704197516,7.894736842105263,0.4760799740322441,0.24739582350270656,1
C4,,,13929.0,0.0,ET,,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,0.0,0.0,0.36458331884609385,3
C4,,,12996.0,0.0,ET,,1448.0,0.03810118704197516,1448.0,0.03810118704197516,0.0,0.0,0.1497395773832171,1
C4,19.705494165420532,3.0,13929.0,0.04557291485576173,ET,3.0,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,9.170305676855897,0.42325334183361757,1.4908853574242051,3
C4,,,10556.0,0.0,ET,,1448.0,0.03810118704197516,1448.0,0.03810118704197516,0.0,0.0,0.3059895711744002,1
C4,20.368547677993774,3.0,9849.0,0.013020832815931924,ET,3.0,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,5.714285714285714,0.20823999411900862,0.6835937228364259,3
C4,19.90320110321045,3.5,11314.0,0.013020832815931924,ET,4.0,1448.0,0.03810118704197516,1448.0,0.03810118704197516,9.58904109589041,0.45730668475998704,0.4752603977815152,1
C4,13.437706232070923,3.5,9849.0,0.013020832815931924,ET,4.0,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,5.263157894736842,0.41474664177510573,0.8658853822594729,3
C4,,,13929.0,0.0,ET,,1448.0,0.03810118704197516,1448.0,0.03810118704197516,0.0,0.0,0.09114582971152346,1
C4,,,12996.0,0.0,ET,,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,0.0,0.0,0.013020832815931924,3
