ind,ch,bf,bf_deviation,isi_cv,sync_n,r_max,r,d_max,d,sfr,br,bdur_max,bdur,nspikes_burst_max,nspikes_burst,p_bursting_time,p_bursting_spike,ibi_cv,animal,group
2,31,29868,8011.03125,1.133531476,11,0.139500985,0.062221515,0.899987822,0.590895189,0.311111111,0.011111111,2.5370624,1.36257536,6,4.5,0.015139726,0.160714286,,P8,ENT
2,32,22636,779.03125,0.970688557,3,0.177027931,0.10114768,0.100009208,0.066672805,0.266666667,0,,,,4.5,,,,P8,ENT
3,1,18379,1674.208333,0.944474049,18,0.043524893,0.0204578,0,0,1.033519553,0.011173184,0.12541952,0.0864256,3,3,0.000965649,0.032432432,,U2,ENT
3,2,18379,1674.208333,0.896749265,20,0.030833914,0.014769062,0,0,0.899441341,0.027932961,0.20463616,0.110452736,3,3,0.003085272,0.093167702,1.221128707,U2,ENT
3,3,18379,1674.208333,0.998155259,18,0.032503097,0.016208814,0,0,1.055865922,0.011173184,0.25206784,0.18927616,4,3.5,0.002114817,0.037037037,,U2,ENT
3,4,18379,1674.208333,1.099505198,20,0.037032778,0.014770994,0,0,0.87150838,0.016759777,0.28741632,0.1275904,4,3.333333333,0.002138387,0.064102564,0.431854852,U2,ENT
3,5,18379,1674.208333,1.065325235,19,0.043524893,0.019824867,0,0,0.865921788,0.016759777,0.21270528,0.184715947,3,3,0.003095798,0.058064516,0.221529038,U2,ENT
3,7,18379,1674.208333,0.926094468,16,0.038555762,0.016699696,0,0,0.782122905,0.011173184,0.11513856,0.06733824,3,3,0.000752383,0.042857143,,U2,ENT
3,8,18379,1674.208333,0.979217015,14,0.026295831,0.012831444,0,0,0.955307263,0.027932961,0.26054656,0.158007296,5,3.8,0.004413612,0.111111111,0.832839938,U2,ENT
3,9,18379,1674.208333,0.934867571,18,0.030924675,0.014171278,0,0,0.837988827,0,,,,3.8,,,,U2,ENT
3,10,14929,-1775.791667,1.059486706,18,0.030924675,0.012851934,0.29994074,0.099980247,0.782122905,0,,,,3.8,,,,U2,ENT
